Date,Open,High,Low,Close,Volume
02-01-1962,0.789086784,0.802238193,0.78119581,0.786456406,345317
03-01-1962,0.782510492,0.782510492,0.775934872,0.778565168,236606
04-01-1962,0.778564848,0.785140465,0.762783077,0.769358695,294159
05-01-1962,0.769359022,0.77067421,0.73648044,0.749632001,436442
08-01-1962,0.749632251,0.749632251,0.725959578,0.748317063,495593
09-01-1962,0.748316554,0.758837655,0.743055964,0.752261877,372494
10-01-1962,0.752261983,0.76015295,0.749631847,0.756207466,313343
11-01-1962,0.756208169,0.757523358,0.743056759,0.757523358,260586
12-01-1962,0.757522449,0.758837557,0.744371055,0.74700135,270178
15-01-1962,0.74831665,0.757522645,0.74831665,0.754892349,338922
16-01-1962,0.754892038,0.764098109,0.749631529,0.761467814,222218
17-01-1962,0.76015305,0.76015305,0.739110682,0.744371355,342119
18-01-1962,0.744371152,0.752261877,0.743055964,0.752261877,236606
19-01-1962,0.752262689,0.758838475,0.752262689,0.758838475,212626
22-01-1962,0.760152627,0.770673725,0.760152627,0.761467814,227014
23-01-1962,0.758837557,0.758837557,0.744371055,0.74700135,364501
24-01-1962,0.747001235,0.764098109,0.74437094,0.761467814,255790
25-01-1962,0.761468321,0.766728753,0.748316839,0.753577352,254191
26-01-1962,0.753577654,0.754892842,0.748317139,0.750947356,161467
29-01-1962,0.75094677,0.754892253,0.749631742,0.752261877,163066
30-01-1962,0.761468279,0.773304491,0.761468279,0.765413523,284566
31-01-1962,0.765413248,0.789085984,0.7640983,0.789085984,300553
01-02-1962,0.789086669,0.793032155,0.775935262,0.783825994,410863
02-02-1962,0.783824732,0.787770212,0.778564306,0.787770212,236606
05-02-1962,0.786455862,0.786455862,0.773304462,0.773304462,225415
06-02-1962,0.775934674,0.7838254,0.775934674,0.781195104,166264
07-02-1962,0.781195019,0.789085984,0.778564884,0.789085984,270178
08-02-1962,0.789086217,0.794346809,0.787771029,0.794346809,281369
09-02-1962,0.794346764,0.794346764,0.779880177,0.79040128,241402
12-02-1962,0.79040128,0.793031656,0.786455796,0.79040128,131092
13-02-1962,0.791716234,0.799607038,0.791716234,0.799607038,193441
14-02-1962,0.799606965,0.808813037,0.798291778,0.806182742,258987
15-02-1962,0.807498168,0.820649647,0.807498168,0.818019271,298955
16-02-1962,0.818019516,0.819334704,0.806183301,0.812758923,374093
19-02-1962,0.812758359,0.816703841,0.80223726,0.806182742,249395
20-02-1962,0.806183171,0.806183171,0.794346878,0.804867983,171060
21-02-1962,0.804867866,0.80881335,0.796976898,0.80223757,172658
23-02-1962,0.802237617,0.803552805,0.793031702,0.794346809,260586
26-02-1962,0.794347264,0.796977401,0.77725037,0.783825994,201435
27-02-1962,0.783825314,0.789085984,0.782510206,0.789085984,148678
28-02-1962,0.789086117,0.791716413,0.782510338,0.785140634,265382
01-03-1962,0.789085939,0.799607038,0.789085939,0.799607038,145481
02-03-1962,0.800922498,0.810128495,0.800922498,0.804867983,201435
05-03-1962,0.806182742,0.812758359,0.806182742,0.806182742,222218
06-03-1962,0.806183101,0.807498209,0.791716513,0.794346809,150277
07-03-1962,0.794346529,0.803552521,0.794346529,0.799607038,161467
08-03-1962,0.799606944,0.814073525,0.796976569,0.81144315,282968
09-03-1962,0.815388891,0.824595046,0.815388891,0.823279858,316540
12-03-1962,0.823280322,0.825910459,0.820650025,0.824595511,337323
13-03-1962,0.82988967,0.82988967,0.820624404,0.825918853,206231
14-03-1962,0.825918449,0.827242,0.816653187,0.821947634,174257
15-03-1962,0.821948266,0.831213293,0.817977448,0.824595451,302152
